Unnamed: 0,lat1,lon1,start1,lat2,lon2
37891,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
582108,50.9,11.1,4100,41.893055555556,12.482777777778
44835,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
129702,27.0,29.0,4100,31.2,29.916666666667
68533,38.670556,34.839167,4100,31.2,29.916666666667
89608,40.816666666667,14.069722222222,4100,40.816666666667,14.069722222222
245324,43.296346,5.369889,4100,41.893055555556,12.482777777778
53620,32.76,35.527,4100,31.783333333333,35.216666666666995
84654,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
2524,31.05,32.6,4100,31.2,29.916666666667
128721,31.2,29.916666666667,4100,31.2,29.916666666667
470297,36.2,36.15,4100,40.638333333333,17.945833333333002
220084,40.8,22.05,4100,40.8,22.05
78604,45.406388888889,11.877777777778,4100,41.893055555556,12.482777777778
47277,42.231211111111,14.390469444444001,4100,45.156388888889,10.791111111111
91734,40.833333333333,14.25,4100,40.833333333333,14.25
57639,33.513055555556,36.291944444444,4100,31.613097,34.898297
647943,37.933333333333,22.933333333333,4100,39.197138888889,20.185194444444
3701,37.866666666667,32.483333333333,4100,37.866666666667,32.483333333333
155992,31.783333333333,35.216666666666995,4100,31.95,34.9
68172,27.0,29.0,4100,31.2,29.916666666667
46706,36.3675,6.61194444,4100,41.893055555556,12.482777777778
57578,44.823333333333,0.67,4100,45.184166666667004,0.71805555555556
41151,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
57486,31.2,29.916666666667,4100,31.2,29.916666666667
75375,39.116667,27.183333,4100,37.939722,27.348611
68917,32.5,34.9,4100,37.930833333333,29.123333333333
61824,32.14306,35.26062,4100,34.006111111111004,36.208611111111004
83790,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
12628,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
185832,42.516666666667,12.516666666667,4100,41.133333333333,14.783333333333001
39225,27.0,29.0,4100,43.533333333333,4.5
34626,32.216111111111005,35.266111111111,4100,41.893055555556,12.482777777778
309695,37.6125,15.165555555555999,4100,41.893055555556,12.482777777778
112091,45.538888888889,10.220280555556,4100,44.049113888888996,8.2130166666667
41665,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
159582,41.88694,12.71583,4100,41.966666666666995,12.8
91334,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
128554,27.0,29.0,4100,31.2,29.916666666667
48261,53.333333333332995,-8.0,4100,46.6858,7.78781
39279,41.893055555556,12.482777777778,4100,41.88694,12.71583
65599,35.883333333333,14.5,4100,35.883333333333,14.5
129715,38.5,23.0,4100,41.893055555556,12.482777777778
43610,37.57955,38.481316666667,4100,37.979444444444,23.716111111111
58654,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
91315,27.0,29.0,4100,31.2,29.916666666667
63932,32.272280555556,35.891397222222,4100,41.893055555556,12.482777777778
652802,28.0,32.1,4100,40.05,9.0833333333333
59774,37.5,28.0,4100,40.833333333333,14.25
229166,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
34240,35.0,105.0,4100,35.0,105.0
86447,41.893055555556,12.482777777778,4100,41.893055555556,12.482777777778
84196,36.2,36.15,4100,41.893055555556,12.482777777778
31136,31.625321000000003,35.145264000000005,4100,31.783333333333,35.216666666666995
44048,31.625321000000003,35.145264000000005,4101,49.756666666667,6.6413888888889
109708,32.753055555556,35.279166666666995,4101,32.753055555556,35.279166666666995
47317,36.2,36.15,4101,44.417777777778,12.199444444444001
63139,41.893055555556,12.482777777778,4101,41.893055555556,12.482777777778
240059,32.541780555556,44.431644444444,4101,35.216667,38.583333
240425,31.0,35.0,4101,32.541780555556,44.431644444444
214294,34.65867,112.42447,4101,32.05,118.76666666667
63178,45.758888888889,4.8413888888889005,4101,45.758888888889,4.8413888888889005
40738,41.893055555556,12.482777777778,4101,41.893055555556,12.482777777778
45619,38.155,23.963611111111003,4101,38.155,23.963611111111003
110069,38.768888888888995,-7.2180555555556,4104,41.833333333333,12.9
